document_id	Title	Authors	Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
58	The Recruiting Interview As Perceived By College Student Applicants For Sales Positions	"Thomas R. Wotruba, Edwin K. Simpson and Jennifer L. Reed-Draznik"	1989	0.00000000	0.00000000	0.64256710	0.00000000	0.02911069	0.00000000	0.02038814	0.00000000	0.00000000	0.16308536	0.00000000	0.01979189	0.00000000	0.12468261	0.00000000	0.00000000	0.00000000
59	Microcomputer Systems To Handle Sales Leads: A Key To Increased Salesforce Productivity	Robert H. Collins	1985	0.00000000	0.00000000	0.00000000	0.92495626	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.07409555	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
60	Has Sex Stereotyping Disappeared? A Study of Perceptions of Women and Men in Sales	Frederick A. Russ and Kevin M. McNeilly	1988	0.00000000	0.00000000	0.97049326	0.00000000	0.00000000	0.00000000	0.02377236	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
61	The Sales Manager As A Boundary Spanner: A Role Theory Analysis	Steven J. Lysonski and Eugene M. Johnson	1983	0.00000000	0.00000000	0.00000000	0.01944137	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01293395	0.08825528	0.76896524	0.00000000	0.10984761	0.00000000	0.00000000	0.00000000
62	Survival Analysis: A New Approach To Analyzing Sales Force Retention	"William C. Moncrief III, Ronald Hoverstad, George H. Lucas and Jr."	1989	0.94082224	0.00000000	0.00000000	0.00000000	0.01103679	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.04658288	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
63	An Empirical Investigation of the Salesperson's Career Stage Perspective	John C. Hafer	1986	0.00000000	0.00000000	0.00000000	0.00000000	0.60942292	0.00000000	0.10634423	0.00000000	0.09469614	0.00000000	0.00000000	0.18848999	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
64	Asking Questions: Some Characteristics of Successful Sales Encounters	Camille P. Schuster and Jeffrey E. Danes	1986	0.25360569	0.00000000	0.00000000	0.04852147	0.02938440	0.00000000	0.11365354	0.00000000	0.00000000	0.55424970	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
65	Sales Training: Salespeople's Preparedness And Managerial Implications	Alan J. Dubinsky and William A. Staples	1981	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60118639	0.00000000	0.00000000	0.00000000	0.39768758	0.00000000	0.00000000	0.00000000
66	Improving the Public Acceptance of Sales People through Professionalization	Robert T. Adkins and John E. Swan	1981	0.00000000	0.00000000	0.69537532	0.00000000	0.00000000	0.00000000	0.06345845	0.00000000	0.10288643	0.02062767	0.00000000	0.00000000	0.01909354	0.09116785	0.00000000	0.00000000	0.00000000
67	Sales Contests: A New Look At An Old Management Tool	"William C. Moncrief, Sandra H. Hart and Daniel Robertson"	1988	0.00000000	0.00000000	0.00000000	0.18057139	0.80708688	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
68	"Linking Market Share Strategies To Salesforce Objectives, Activities, And Compensationpolicies"	William Strahle and Rosann L. Spiro	1986	0.15678741	0.00000000	0.00000000	0.20756340	0.13748910	0.00000000	0.00000000	0.10967817	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.38742781	0.00000000	0.00000000	0.00000000
